lon;lat
135.87;-31.06
134.88;-32
136.49;-32.52
136.89;-30.79
135.52;-32.38
138.27;-30.07
136.57;-33.91
135.27;-33.95
136.16;-34.12
137.36;-33.21
136.38;-33.87
134.89;-33.65
138.43;-33.05
138.61;-32.74
137.92;-34.42
137.59;-34.77
137.63;-33.93
138.56;-35.06
139.17;-34.1
139.08;-34.18
139.03;-35.3
139.27;-35.12
139.6;-34.57
140.91;-35.26
140.35;-36.1
140.84;-37.38
143.09;-30.85
142.57;-33.39
141.91;-34.11
148.19;-32.73
150.61;-30.38
150.03;-31.18
150.46;-30.96
151.78;-32.59
151.42;-32.64
149.6;-32.6
149.98;-32.81
149.56;-33.43
150.81;-34.27
150.8;-35.09
149.78;-35.72
150.15;-35.91
148.89;-34.74
144.95;-35.55
144.6;-35.42
146.32;-33.61
142.85;-35.93
143.03;-36.01
142.85;-35.5
141.42;-36.11
141.24;-36.37
142.4;-36.78
141.94;-36.74
143.85;-35.98
143.35;-36.48
145.55;-35.88
146.71;-36.37
149.91;-37.57
148.46;-37.69
146.42;-39.13
145.15;-37.48
145.13;-37.56
144.33;-38.07
144.15;-37.82
144.64;-38.12
145.21;-37.45
143.36;-37.45
142.72;-37.69
144.72;-40.69
145.14;-40.92
147.97;-41.64
148.12;-40.73
147.52;-42.93
147.56;-42.79
146.75;-42.34
147.32;-39.48
